symbol,side,entry,tp,sl,updates
GOAT,SHORT,0.08225,0.079 | 0.072 | 0.0615,0.087,TP1 Here ♥️  @Sheik Notif
ZRO,LONG,2.715,2.95 | 3.166,2.616,
ETH,LONG,1827.5,1918.0,1807.0,
CRV,SHORT,0.698,0.648 | 0.584,0.727,
ZRO,LONG,2.3575,2.63 | 2.944,2.162,
PNUT,LONG,0.15014,0.167 | 0.1893,0.1443,"1R UP SL to BE 🔥  ❤️  @Sheik Notif | ZRO 6.5% UP SL TO BE 🔥♥️ @Sheik Notif | 1R UP SL TO BE 🔥  ❤️  @Sheik Notif | 8% UP 1.5R UP SL TO BE 🔥❤️ @Sheik Notif | SL to BE, 13.5% UP  1R UP 🔥❤️ @Sheik Notif | To find out how much risk you're taking in your current trade and what leverage you should use, you need to **search on Google** 🔍:
**Crypto Future Calculator**

Multiple websites will appear that have a futures trading calculator 📊.
You don’t need to create any account on these websites ❌.

On the **Websites** there will be a **calculator**, where you’ll find options like:
**Entry Price, Exit Price, Leverage, Margin**, etc.
Before taking trade on Exchange  Enter the details of your trade there**,** like Entry, Exit Price, SL, TP, Leverage Margin etc. and it will show you the results ✅

💡 On the **Exit Price Option** you can first enter your SL Price to check your loss, and then enter your  TP  Price to see your profit.
Some calculators even have separate options for SL and TP 🎯📉📈.

Unfortunately, I can’t share any specific website link 🔗. @Sheik Notif"
AAVE,LONG,234.2,243.0 | 249.0,228.0,"Got stopped out. It's the weekend, so no trades volume isn’t good. You’re already in many longs, so try to avoid taking more. Try not to take more than 2 trades at a time unless you’ve moved at least one SL to BE @Sheik Notif | 2% UP 🔥 , Chobby Trade Move SL to BE ❤️ @Sheik Notif | 4.4% UP🚀  Move SL to BE  🔥  ❤️  @Sheik Notif | Almost 1R down 🚀  SL to BE  🔥 ❤️  @Sheik Notif | Move SL to BE 🔥🚀 @Sheik Notif | Move SL to BE 🔥  ❤️  @Sheik Notif | 3.55% UP🚀  MOVE SL TO BE 🔥 ❤️  @Sheik Notif | $DOGE ALMOST 1R UP 🚀 MOVE SL TO BE 🔥 ❤️ @Sheik Notif | Already Moved SL to BE on both $TON and $DOGE  Trade 🚀 —  will book profits on both at TP1 🔥 ❤️   @Sheik Notif | TP1 UPDATED, I WILL Book Profit at TP1 @Sheik Notif"
PEPE,LONG,7.45e-06,7.75e-06,7.28e-06,3.4% UP From Entry Price Move SL to BE & Near to TP1  or  Looking from another killer trade ♥️ 🔥  @Sheik Notif
AAVE,LONG,156.6,168.8 | 176.4,151.0,
AXL,LONG,0.341,0.353 | 0.38,0.3291,
LINK,LONG,12.475,13.32,12.0,Profit Booked TP1  Here 🔥❤️ @Sheik Notif
FLOKI,SHORT,0.0562,0.0536,0.05838,TP1 Here Full Profit Booked 🔥❤️🚀 @Sheik Notif
SUI,LONG,2.137,2.2 | 2.3189,2.0738,After 3 TP  1 SL Hit 😩 Shit weekend
POPCAT,LONG,0.1315,0.144,0.1227,
MKR,SHORT,1241.0,1203.0 | 1065.0,1284.0,
TAO,LONG,194.0,203.15 | 214.0,183.2,SL to BE 🔥  @Sheik Notif | TP1 Here Profit Booked 🔥 🚀  @Sheik Notif
