symbol,side,entry,tp,sl,updates
ICP,LONG,5.316,4.76 | 5.229,2.0,"studying dark psychology to send icp to tp | tp1 on $LTC spot 35% up at resistance @sn06 Notif
sold half pos"
ETH,LONG,2512.5,2596.0 | 2820.0,2446.0,$ETH TP1 booked from 2nd entry 0.7r @sn06 Notif
TIA,LONG,2.622,2.78 | 3.16,2.495,TIA TP1 BOOKED @sn06 Notif
ONDO,LONG,0.9,0.9371 | 1.0192,0.863,ONDO TP1 SMASHED @sn06 Notif | Gm. $Ondo did tp1 and 8% then stopped be 😭 @sn06 Notif | GMX stop be will call manual tp at 1r @sn06 Notif | tp1 booked @sn06 Notif
BTC,SHORT,106750.0,103730.0 | 97683.0,109250.0,
AAVE,SHORT,257.94,243.0,270.6,"tp1 booked @sn06 Notif | Gn moved my tp1 to 1R 0.547 @sn06 Notif | $JUP TP1 DONE @sn06 Notif
#「💸arena-testimonials」 | $JUP FULL TP @sn06 Notif | $TON TP1 SMASHED @sn06 Notif | $TON FULL TP @sn06 Notif"
ONDO,LONG,0.864,0.893 | 1.109,0.8345,"$LDO TP1 DONE @sn06 Notif
#「💸arena-testimonials」 | @sn06 Notif May trade results

OP long TP1 ✅
ICP long SL ❌
GMX long TP1 ✅
ETH long TP1 ✅
APT long stopped be
TIA long TP1 ✅
ONDO long TP1 ✅
GMX long TP1 ✅
BTC short SL ❌
AAVE short TP1 ✅
JUP long FULL TP ✅
TON long FULL TP ✅
ONDO long SL ❌
LDO long TP1 ✅
JUP long running 3% up

PYTH spot -5% ❌
PI spot +31% ✅

Trades 16
Winrate 73.3%"
JUP,LONG,0.46,0.478 | 0.535,0.4423,"$ONDO 2.5% up move sl to breakeven @sn06 Notif | $ONDO TP1 DONE @sn06 Notif | $ONDO booked full position here @sn06 Notif
total 1R if you held 10-20% after tp1"
WIF,LONG,0.3619,0.383 | 0.439,0.3361,set $WIF TP1 to 0.383 @sn06 Notif | $WIF holding full setup with the tp1 I mentioned before no change @sn06 Notif | $WIF move stop breakeven @sn06 Notif | $WIF TP1 DONE @sn06 Notif
LDO,LONG,0.81,0.844,0.776,"3% up moving my sl to be @sn06 Notif | $LDO TP1 BOOKED @sn06 Notif | tp1 hit for those that couldnt book same time as me @sn06 Notif
drop pnls in #「💸arena-testimonials」"
