symbol,side,entry,tp,sl,updates
GLM,SHORT,0.272,0.26 | 0.256,0.2787,"GLM 2nd entry hit TP1 here 1R ❤️ @Tyler Notif | Tp2 here for $GLM @Tyler Notif | $ZEREBRO TP1 HIT. 3% from avg entry @Tyler Notif ❤️
damn sniped that dca entry | As i told u always do 30-70 portion then it will make ur avg price better. What if 2nd entry didnt hit and straight to TP? Doesnt matter its still up 🤗
If its sl then sl:dumbtyler: :emoji_19:"
WAL,LONG,0.5906,0.68,0.5672,"$IMX TP1 HIT. 1R from avg entry❤️ @Tyler Notif +2.5% | These red lines are TP area | $WAL tp 1 is 0.63 but if it reach 0.6150 u can SL BE @Tyler Notif
Imma sleep now"
WIF,SHORT,0.538,0.515 | 0.48,0.555,"Anyway 2nd entry hit and this is my avg price. Gonna let it ride to tp or sl as we only risk 0.5R

Yes i enter on both exchange
Back on eating 1 pack of noods | Tp1 3.3 - 3.2 - moon | $NEAR ON BITGET HIT FULL TP 15% @Tyler Notif :dumbtyler: | $IMX TP 1 HIT 0.9R✅:emoji_19: @Tyler Notif +2% | $ZRO 4% up from avg entry and 7% from 2nd entry. If u enter on the 2nd entry then u should be at 1R or TP1 now. Personally im holding but you can move SL to BE @Tyler Notif | $AR entry hit and 6% down❤️ @Tyler Notif almost TP2 here | Btw $ZRO hit TP overnight while I was asleep so I can’t update yall. 8% up. Now is back around entry and Im still in @Tyler Notif | For new member here and  don’t know how my TP works, TP1 is always 1:1 with the SL. For example $ZRO SL is 7% from avg price. So TP1 is also 7% from avg price. You can set tp/sl both together so you dont have to wait for me to update. That way you can secure the profit even when u are away 👌 @Tyler Notif | $ZRO 7% again. TP1 here ❤️ @Tyler Notif im still holding full clip as i think this will have a run. Target 3.6-4 | Ok 2R here u can TP partial and SL BE @Tyler Notif"
KAVA,LONG,0.4607,0.51,0.4437,"$ALCH SHORT LIMIT HIT +7% almost TP2✅ @Tyler Notif | $JASMY 2% down now, TP1 is at 0.018151, full tp is at 0.0165 @Tyler Notif | $JASMY take tp1 here @Tyler Notif +4% alr as we reaching support | $DOT & $ONDO up 6%. For long u can take TP1 here but for spot still holding @Tyler Notif | $APT all entries hit and also almost hit SL:dumbtyler: but now 1% up

TP1 is at 5.04 (2.5%/1R from avg entry)  @Tyler Notif | If we hit SL BE and then pump to TP then we blame @liquidity god for scaring me | $APT hit TP1 +2.5% @Tyler Notif | TP2 is at 5.24$ for $APT @Tyler Notif | Take tp2 for $APT here 4% up ✅ @Tyler Notif | TP 1 is around 0.76 (4%) Imma go to sleep either TP or SL risking half of $APT profit @Tyler Notif GN nigs | $FET TP1 HIT +4% @Tyler Notif | imma sleep so when it 1R up pls tp around 26.5-26.7 for $HYPE @Tyler Notif | 26.5$ hit 2% ish up for $HYPE but its not 1R yet. 1R is at 26.77$ but just to be save move SL to BE @Tyler Notif imma go back to sleep again | $HYPE TP1 HIT 3%✅ @Tyler Notif | $HYPE clean BO 5% up from our entry. TP2 here✅ @Tyler Notif
Kodak kodak | GM bruv

$SUI TP1 HIT❤️ @Tyler Notif +3%✅ | Btw if u see my pnl card it says exit price, its just like 2% of my size closed just to mark that tp1 hit | $SUI TP2 hit 2R +6%✅ @Tyler Notif | 6% down for $LAUNCHCOIN ✅ 1R can take TP1 @Tyler Notif
Thank God i didnt tell you to put SL BE :dumbtyler: :emoji_19:
I said u can sl be but u dont have to:dumbtyler: | TP1 here + 7%✅ @Tyler Notif | I dont know why they closed my position fully. I set partial tp but they closed fully
Fuck bitget dont want me to print | $ALCH TP1 here +4.5%✅ @Tyler Notif | $PI DIDDY TP1 HIT 3.5% ✅ @Tyler Notif | $PI DIDDY tp2 hit 2R +6%✅ @Tyler Notif | GM 

$CHILLGUY hit SL last night -3% 😭  but $GRIFFAIN hit TP1 +8% @Tyler Notif | $ZRX 1.5% up u can put SL to BE. i think someone said powell speech today @Tyler Notif | $NMR both entry hit and TP1 HIT 3% ✅ @Tyler Notif | $ZRX TP1 hit 3% ✅ @Tyler Notif | $JASMY all entry hit @Tyler Notif gonna let it run to sl or tp
Tp1 is 0.016865 | $ZRX TP2 HIT +6%✅ @Tyler Notif | $NMR TP2 HIT 5% from avg entry ✅ @Tyler Notif | $LAUNCHCOIN TP1 HERE +4% from avg entry @Tyler Notif
If u divide 50 50 still in profit now | $LAUNCHCOIN TP2 9%✅ @Tyler Notif | $ALGO 2% down put SL to BE @Tyler Notif | Cmon btc just dump a lil bit so algo hit tp🥹 | BRUH BE HIT AND THEN TP1 fuck khabib | Market is confusing af, ytd my bias to short was right, but the sudden pump and false breakout from eth made me changed my bias. If u see all coins that i share to short ytd is in profit 😭 

Anyways im still holding $BERA long now 2% underwater from avg entry. Will hold until tp or sl. 


@Tyler Notif | $CRV 5% up from avg entry. TP1 here +1R ✅ @Tyler Notif | TP2 here +2R ✅ @Tyler Notif | $SOL swing long entry hit avg 149.8$ and hit tp1 8% 1R✅ @Tyler Notif"
CHESS,LONG,0.07845,0.12,0.07088,"when you got conviction in your trade. you don't need sl. it's destined to hit tp. otherwise your system is wrong. study again | Its my birthday i hope this popcat hit tp or this gonna be my last birthday :emoji_5: :crying: | Tp1 0.2011 target 0.21 | Take TP1 here 3% almost 1R:emoji_19: @Tyler Notif | Ok TP1 hit +4% 1R😭❤️ @Tyler Notif | Personal trade follow if u want but manage ur risk. Sl 0.09825. Or if u wanna risk less then enter 0.09505. Same SL. TP sub 0.87 @Tyler Notif | $MUBARAK TP1 +3% from pre entry @Tyler Notif | TP for mubarak: 0.028 @Tyler Notif | Ok so it already hit TP1  from the pre entry, and now it hit SL for people who still keeping limit including me. So how do we count this:emoji_19: | Spam dat shi my negritos at #「💸arena-testimonials」 @Tyler Notif TP1 Hit +5% more than 1R down from our avg entry | TP2 hit +9% +2R✅ @Tyler Notif | @Tyler Notif tp1 hit 1R 3%:emoji_19: | ok negritos, so incase u didnt know, lets say my trade has 3% SL, then my TP1 is 3% from the entry. u can set it by go to partial close and set the ROI to 30% if u use 10x like me. so u wont have to monitor or book ur tp manually. @Tyler Notif | and i said it again, i sait TP1 doesnt mean I book profit at TP1, bcs its my money, but for yall its up to u if u want to book or not im just stating that it hit TP1 which 1:1 and the rest is up to u | for $HIPPO im still holding full pos bcs this coin is scammy and I am waiting for it to break this trendline to dump further, but i clarify once again, its better to book ur profits bcs it already hit 1:1 or u can hold llike me but I already count this trade hit TP1"
RARE,SHORT,0.07925,0.071,0.082,"tp red lines | tp 0.0072 | $FUN tp1 here +6% 1r+ @Tyler Notif | btw $AUCTION almost tp 1 or 1R, so u can put SL to BE. dont sell just sl BE @Tyler Notif | BE hit after almost tp1, we move on. Still holding fun @Tyler Notif | Gonna sleep, fun tp1 hit before but im still holding full clip and just put sl be now as i can’t monitor it | GM

$ETH filled for the first buy level and will dca until 1390, $BTC filled thats my avg entry and currently 1% down, $FUN closed 7% or TP1 (1R+) @Tyler Notif
Those are all my pos rn | $BTC TP1 hit +2% +1R:emoji_19: :emoji_19: :emoji_19:"
SOL,SHORT,108.7,101.0 | 96.0 | 83.0,111.4,"Tp1 at 104.95 for 1R | TP1 105$ | $SOL TP1 HERE 1R +3% ❤️ @Tyler Notif
Ok not exactly 1R but just round it up
:emoji_19:
Its like 0.2% to tp1 | Hit TP1 ❤️ ❤️ ❤️"
RARE,SHORT,0.063255,0.053,0.0655,"$FARTCOIN ALL ENTRIES HIT AND TP1 HIT ❤️ +5% +1R @Tyler Notif 

Spam on #「💸arena-testimonials」 ur pnl and said GOD DID | $FARTCOIN FARTED😩

TP2 +9% @Tyler Notif | $FARTCOIN full tp hit 20% :emoji_5: @Tyler Notif"
POPCAT,SHORT,0.1877,0.1812 | 0.173,0.195,"Fuck you popcat
Guys i legit why nowadays it aimed my SL and hit tp
Did I place my SL wrong?
Or too small?
Or skill issue?
React which one is it"
IM,LONG,0.141,0.17 | 0.5,0.1385,"TP1: 0.0577, target 0.055-0.054
imma sleep so pls manage ur risk 0.5R bcs market is confusing nowadays
only sheikh and khalil are profitable | I believe that I am cursed now. This is the third time it hit sl then hit tp
Sar whoever cursed me i am sorry and i apologise 😭 pls take the curse back i beg you | $S hit TP1 here +7% +1R ❤️ @Tyler Notif | $LAYER 2.5% down now u can SL BE and wait for TP1 at 2.057 @Tyler Notif | take TP1 here 3% its like 0.9R so just let it slide for a brother this time:emoji_19:  @Tyler Notif | TP: 0.0302 - 0.027 | $ACE LONG

ENTRY: cmp- 0.0632
SL: 0.6145 (3.5% from 1st entry)
TP: 0.68
manage risk as always @Tyler Notif | $ONDO both entries hit and TP1 hit now 1R @Tyler Notif | Tp2 $ONDO 2R @Tyler Notif im taking 50% and sl be | GM.

$SEI tp1 hit +5% 1r here @Tyler Notif | $ONDO all entries hit and this is my avg entry. SL the same, TP1 around 0.9580 @Tyler Notif | April trades:

1/4: 
$POPCAT long: TP1 hit +4.5% ✅
$AI16Z short: close BE 💤

2/4:
$FARTCOIN long: close BE 💤

3/4:
$MUBARAK short: close BE💤
$MUBARAK short: TP1 hit +3%✅
$FUN long: SL hit for bitget, +23% for blofin🔻✅
$RARE short: TP2 hit +9%✅

4/4:
$CORE short: close BE💤
$MEW short: close -1% 🔻
$HIPPO short: TP1 hit +3%✅

5/4:
$REZ setup short: +17% ✅
$RENDER short: cancel frontrun💤
$VIDT long: SL hit -8% (nasty wick)🔻
$USUAL short: SL HIT -3.5%🔻

6/4:
$AUCTION long: BE hit after almost tp1💤
$FUN short: tp1 hit +7%✅
$HIPPO short: down to hell while i was typing💤

7/4:
$BTC long: sl hit -2%🔻
$ETH spot setup: up 20%✅

8/4:
$SOL short: tp2 hit +7%✅
$FARTCOIN long: tp max hit +25%✅
$RARE short: sl hit -3%🔻

9/4:
$RARE short: sl hit -3%🔻

11/4:
$POPCAT short: sl hit -3.7%🔻
$GAS short: SL hit -5%🔻

12/4:
$POPCAT long: cancel frontrun💤
$SOL long: cancel frontrun💤

13/4:
$PNUT short setup: sl hit -6%🔻
$AVAX long setup: +4% ✅

15/4:
$ANIME short: cancel💤
$ACT short; sl hit -2.5%🔻

16/4:
$FARTCOIN long setup: +9.5% ✅
$XRP long: cancel didnt hit entry💤

20/4:
$SUSHI long: cancel entry didnt hit💤
$S long: tp1 hit +7%✅
$LAYER short: tp2 hit +9%✅

21/4:
$GTC short; SL hit -5%🔻

22/4:
$ZEREBRO SHORT; sl hit -7.5%🔻

24/4:
$AUCTION long: cancel didnt hit entry💤
$ADA short: cancel didnt hit entry💤

26/4:
$ACE long: tp1 hit after BE💤
$PI short: close BE💤

27/4:
$FARTCOIN spot: +35% up still holding✅
$ONDO long: TP2 hit +6%✅

29/4:
$SEI long: tp1 hit +5%✅
$FXS spot: +3% from 1st entry and closed.✅

30/4:
$ONDO long; close BE💤
$SUI long: cancel and fly💤
$LINK short: sl hit -3%🔻
$FARTCOIN long: cancel frontrun💤
$FXS spot: 5% up from entry 2✅

I wont count the win/loss but overall we still up even tho its worse than last month. But this month will kill it bcs i’ve been studying :dumbtyler:  @Tyler Notif"
GLM,SHORT,0.272,0.26 | 0.256,0.2787,"GLM 2nd entry hit TP1 here 1R ❤️ @Tyler Notif | Tp2 here for $GLM @Tyler Notif | $ZEREBRO TP1 HIT. 3% from avg entry @Tyler Notif ❤️
damn sniped that dca entry | As i told u always do 30-70 portion then it will make ur avg price better. What if 2nd entry didnt hit and straight to TP? Doesnt matter its still up 🤗
If its sl then sl:dumbtyler: :emoji_19:"
WAL,LONG,0.5906,0.68,0.5672,"$IMX TP1 HIT. 1R from avg entry❤️ @Tyler Notif +2.5% | These red lines are TP area | $WAL tp 1 is 0.63 but if it reach 0.6150 u can SL BE @Tyler Notif
Imma sleep now"
