symbol,side,entry,tp,sl,updates
AAVE,LONG,165.0,174.65 | 205.0,160.4,Eth more than 1R up tp 1 taken here @Illusion Notif
TST,LONG,0.696,0.73 | 0.83,0.661,
VANRY,LONG,0.02639,0.029 | 0.031,0.02555,3% bounce vanry from entry almost 1R put stops breakeven after 1R is done you can start to book profits @Illusion Notif | And tst closing breakeven shitcoin still at entry @Illusion Notif
BTC,SHORT,83700.0,82600.0 | 81300.0 | 78200.0,84600.0,"Btc tp1 smashed @Illusion Notif
#「💸arena-testimonials」 | Btc tp2
Smashed @Illusion Notif | Sol eth aave vanry and btc we are on a 5 tp streak"
MKR,LONG,1236.0,1350.0 | 1599.0,1200.0,"mkr 1R up overnight still running put your stops breakeven @Illusion Notif
Ready for next killer"
DOGE,SHORT,0.1641,0.16024 | 0.15526 | 0.149,0.1684,"Doge tp1 smashed stops breakeven @Illusion Notif
Onto next one 🙂‍↔️
Be ready
#「💸arena-testimonials」"
SUI,LONG,2.2376,2.3624 | 2.5491 | 2.82,2.153,
ADA,LONG,0.65585,0.6941 | 0.7669,0.628,"Sui sl smashed @Illusion Notif
7 tp winning streak broke
Onto next | Link 16% up from our avg entry stops breakeven and tp1 taken 1.6R done @Illusion Notif | Ondo filled and up 28% from our avg entry tp1 taken here 2R done stops breakeven @Illusion Notif"
ENA,LONG,0.2865,0.33 | 0.4,0.265,
MKR,LONG,1316.5,1445.0 | 1796.0,1245.0,
LINK,SHORT,12.565,12.033 | 11.547 | 10.0,13.015,
SAND,LONG,0.2677,0.2763 | 0.297,0.2591,Sand stops breakeven @Illusion Notif | Sand tp 1 smashed @Illusion Notif
SLF,LONG,0.2146,0.223 | 0.2475,0.2077,
TRB,LONG,26.6,28.8 | 31.3,25.7,
GLM,SHORT,0.2594,0.24 | 0.2,0.2703,
ETH,LONG,1786.5,1953.0 | 2100.0,1745.0,"1R up eth stops breakeven crazzzyy @Illusion Notif
U can book profits whenever u want after 1R"
ENA,LONG,0.3368,0.357 | 0.388,0.3213,
PENDLE,LONG,3.2488,3.56,3.1087,"Sand full tp
Smashed @Illusion Notif | Ena tp1 smashed 2R done @Illusion Notif"
AAVE,LONG,167.9,182.0 | 203.0,157.3,
ARB,LONG,0.338,0.372 | 0.427,0.3187,
VANA,LONG,5.9,6.7 | 8.45,5.397,Vana 5% up stops breakeven @Illusion Notif
HBAR,LONG,0.1894,0.208 | 0.233,0.1828,"Trump risky scalp risk very very less 
Entry  13.200
Sl 12.848
Tp 17.9
Again this is very high risky trade if you are taking risk very less
@Illusion Notif | More than 1R up put stops be take tp1 @Illusion Notif
Some important works need to be done will see ya tomorrow | Vana 1R up took tp1 here #「💸arena-testimonials」 @Illusion Notif | Arb 1R up took tp1 #「💸arena-testimonials」 @Illusion Notif"
SOL,LONG,149.15,154.3 | 161.0 | 179.0,145.36,
AR,LONG,6.953,7.455 | 8.9,6.642,"Stopped out ar really bad timing on it still in good profit for the week we had 6 tp streak last week will kill this one for sure no worries @Illusion Notif | Vanry 1R + up from our avg entry tp 1 taken here #「💸arena-testimonials」 @Illusion Notif
Like for next killer"
AXS,LONG,2.572,3.08,2.465,
AAVE,LONG,175.8,181.39 | 189.0 | 204.0,170.5,"2 sl smashed i guess we are in a loop 2 sl streak then 5-6 tp streak then again repeat @Illusion Notif
Anyway new trade droppin soon"
DOGE,LONG,0.1425,0.158 | 0.175,0.136,
TIA,LONG,2.384,2.537 | 3.227,2.259,
FART,LONG,0.9565,1.0144 | 1.2134,0.9118,"Fart coin tp1 smasmed @Illusion Notif
2R | Tia stops breakeven @Illusion Notif | Tia 1R + up tp 1 taken @Illusion Notif
#「💸arena-testimonials」
As tia both entry filled
It should 1R+
And 0.03 away from tp1"
